timestamp,price,price_change,label
2025-02-04 14:03:57.983,99132.60917545018,0.0,0
2025-02-04 15:03:55.742,100160.09279025279,1027.483614802608,1
2025-02-04 16:04:10.533,99503.28222371545,-656.8105665373441,0
2025-02-04 17:01:34.919,99207.7117070122,-295.5705167032429,0
2025-02-04 18:04:06.155,99243.8917964687,36.1800894564949,1
2025-02-04 19:04:02.973,99359.35824162222,115.46644515352091,1
2025-02-04 20:04:02.905,98860.42539595038,-498.9328456718358,0
2025-02-04 21:08:44.686,97972.8075370943,-887.617858856087,0
2025-02-04 22:04:10.694,96386.5143187413,-1586.293218352992,0
2025-02-04 23:01:55.641,97690.61739242118,1304.1030736798712,1
2025-02-05 00:03:56.312,97888.30731950274,197.68992708156293,1
2025-02-05 01:03:57.514,98360.40524167611,472.09792217337235,1
2025-02-05 02:02:52.157,97742.4722066188,-617.9330350573146,0
2025-02-05 03:03:34.380,98029.77668903438,287.3044824155804,1
2025-02-05 04:00:06.424,98006.5293424413,-23.247346593081602,0
2025-02-05 05:04:09.895,98094.7373713875,88.20802894620283,1
2025-02-05 06:03:38.079,98200.71650096471,105.97912957721564,1
2025-02-05 07:03:50.074,97513.92279729006,-686.7937036746589,0
2025-02-05 08:03:50.441,97904.93450676241,391.0117094723537,1
2025-02-05 09:03:58.345,97656.24528073946,-248.6892260229506,0
2025-02-05 10:03:50.353,97450.19613346204,-206.0491472774156,0
2025-02-05 11:03:52.815,97759.8831753512,309.6870418891631,1
2025-02-05 12:01:03.860,98193.32303841642,433.439863065214,1
2025-02-05 13:02:35.879,98045.78183003876,-147.54120837766095,0
2025-02-05 14:04:13.296,98611.46674060835,565.6849105695874,1
2025-02-05 15:03:15.819,98351.26868548083,-260.1980551275192,0
2025-02-05 16:01:49.250,98192.99346867306,-158.27521680777136,0
2025-02-05 17:03:47.273,98044.92329209218,-148.07017658087716,0
2025-02-05 18:04:04.941,97736.3008613856,-308.6224307065859,0
2025-02-05 19:04:09.173,96709.7362968561,-1026.5645645294862,0
2025-02-05 20:02:38.875,97377.74729659544,668.0109997393301,1
2025-02-05 21:04:00.438,97326.90138999239,-50.845906603048206,0
2025-02-05 22:04:10.280,96870.39922901063,-456.50216098176315,0
2025-02-05 23:03:48.268,96439.88149814382,-430.51773086680623,0
2025-02-06 00:03:59.513,96613.00809483857,173.12659669475397,1
2025-02-06 01:03:45.864,96839.96420150516,226.95610666659195,1
2025-02-06 02:04:01.898,97130.53973144067,290.5755299355078,1
2025-02-06 03:00:24.898,97355.35589817187,224.81616673119424,1
2025-02-06 04:04:11.043,97355.40414806851,0.04824989664484747,1
2025-02-06 05:03:40.870,97643.75264902429,288.3485009557771,1
2025-02-06 06:08:28.951,97775.60672474427,131.85407571998076,1
2025-02-06 07:04:11.555,98402.46047835614,626.8537536118674,1
2025-02-06 08:00:08.101,98232.29586759426,-170.1646107618726,0
2025-02-06 09:08:32.486,98211.45992465959,-20.835942934674677,0
2025-02-06 10:03:55.136,98692.44773552474,480.98781086514646,1
2025-02-06 11:04:02.195,98975.0605619712,282.61282644646417,1
2025-02-06 12:01:57.109,98901.87439582883,-73.18616614237544,0
2025-02-06 13:01:52.501,98359.249482822,-542.6249130068318,0
2025-02-06 14:08:31.052,98548.2185810839,188.96909826190677,1
2025-02-06 15:01:09.316,97920.76851950152,-627.4500615823781,0
2025-02-06 16:02:47.492,97232.86007013674,-687.9084493647824,0
2025-02-06 17:03:43.384,96581.82206855995,-651.0380015767878,0
2025-02-06 18:04:00.401,96720.71725520355,138.8951866435964,1
2025-02-06 19:02:56.212,96340.12998876366,-380.5872664398921,0
2025-02-06 20:04:01.843,95967.15004023662,-372.97994852703414,0
2025-02-06 21:03:56.060,96900.66888552891,933.5188452922885,1
2025-02-06 22:01:12.092,96784.5850446752,-116.08384085370926,0
2025-02-06 23:04:09.795,96928.85157608312,144.2665314079204,1
2025-02-07 00:03:51.765,96567.63486519158,-361.2167108915455,0
2025-02-07 01:08:28.742,96656.38389228036,88.74902708877926,1
2025-02-07 02:04:10.825,97463.82094798237,807.4370557020156,1
2025-02-07 03:04:01.886,97585.5765251919,121.75557720952202,1
2025-02-07 04:03:58.031,97442.04681675724,-143.529708434653,0
2025-02-07 05:03:41.061,97459.12539682529,17.078580068045994,1
2025-02-07 06:01:37.655,97354.27325739387,-104.85213943141571,0
2025-02-07 07:00:26.442,96876.89154634211,-477.3817110517557,0
2025-02-07 08:03:51.391,96765.55824275386,-111.33330358825333,0
2025-02-07 09:04:09.234,97129.2131679456,363.65492519174586,1
2025-02-07 10:03:50.207,97337.03098963221,207.8178216866072,1
2025-02-07 11:03:34.511,97316.41651615771,-20.61447347450303,0
2025-02-07 12:00:56.631,97760.09397417755,443.67745801983983,1
2025-02-07 13:03:55.385,98006.31102408515,246.2170499076019,1
2025-02-07 14:03:06.155,98873.42490634344,867.113882258287,1
2025-02-07 15:03:09.508,99606.01843437883,732.5935280353879,1
2025-02-07 16:04:13.816,98081.80812585702,-1524.2103085218114,0
2025-02-07 17:03:52.752,97880.47132241819,-201.33680343882588,0
2025-02-07 18:04:23.151,97416.13593512993,-464.33538728825806,0
2025-02-07 19:04:05.117,97758.33738706807,342.2014519381337,1
2025-02-07 20:04:14.604,96896.28982042264,-862.0475666454295,0
2025-02-07 21:03:42.904,95746.87395405429,-1149.4158663683484,0
2025-02-07 22:03:50.336,96040.13865031378,293.2646962594881,1
2025-02-07 23:04:02.331,96108.29568062663,68.15703031285375,1
2025-02-08 00:04:04.306,96558.4563096667,450.16062904006685,1
